time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
0.29,0.00315734,0.00157867,2.2092,-0.122982,-0.0614908,17.4095,-3.63467,-1.81734,70.1732,0.998392,0.0253497,-0.0506995,0,0.508127,-1.01625,0,3.31482,-6.62965,0,0.491662,0.422534,0.211267,-0.699895,1.73684,0.86842,1.31069,
0.3,0.00149724,0.000748622,2.39027,-0.16601,-0.0830049,18.1071,-4.30281,-2.15141,69.7678,0.998031,0.0280477,-0.0560954,0,0.540561,-1.08112,0,3.24337,-6.48673,0,0.463015,0.436836,0.218418,-0.75127,1.79018,0.895091,1.30116,
0.31,-0.000666121,-0.00033306,2.57828,-0.216336,-0.108168,18.8005,-5.03267,-2.51634,69.3341,0.99761,0.0309008,-0.0618015,0,0.571855,-1.14371,0,3.12946,-6.25893,0,0.435027,0.451662,0.225831,-0.804476,1.83331,0.916656,1.28661,
0.32,-0.00341181,-0.0017059,2.77317,-0.274568,-0.137284,19.4892,-5.82321,-2.9116,68.8706,0.997123,0.0339007,-0.0678013,0,0.601564,-1.20313,0,2.97087,-5.94173,0,0.407649,0.467051,0.233525,-0.859484,1.86531,0.932655,1.26703,
0.33,-0.00682474,-0.00341237,2.9749,-0.341294,-0.170647,20.1729,-6.67253,-3.33626,68.376,0.996565,0.0370369,-0.0740737,0,0.629221,-1.25844,0,2.76574,-5.53148,0,0.38085,0.483045,0.241523,-0.916259,1.88533,0.942664,1.24241,
0.34,-0.0109955,-0.00549773,3.18341,-0.417072,-0.208536,20.8514,-7.57782,-3.78891,67.8489,0.995932,0.0402963,-0.0805927,0,0.654349,-1.3087,0,2.5128,-5.02559,0,0.354611,0.499693,0.249846,-0.974759,1.89263,0.946313,1.21278,
0.35,-0.0160197,-0.00800986,3.39866,-0.502425,-0.251212,21.5243,-8.53529,-4.26764,67.2885,0.995222,0.0436637,-0.0873274,0,0.676463,-1.35293,0,2.21138,-4.42275,0,0.328931,0.517041,0.258521,-1.03494,1.88662,0.943308,1.17816,
0.36,-0.021998,-0.010999,3.62057,-0.597826,-0.298913,22.1913,-9.54014,-4.77007,66.6943,0.994433,0.0471212,-0.0942423,0,0.695079,-1.39016,0,1.86159,-3.72318,0,0.30382,0.535142,0.267571,-1.09675,1.86688,0.93344,1.13864,
0.37,-0.0290349,-0.0145174,3.84909,-0.703691,-0.351846,22.8519,-10.5865,-5.29326,66.0666,0.993566,0.0506485,-0.101297,0,0.709723,-1.41945,0,1.46441,-2.92883,0,0.279303,0.554045,0.277023,-1.16014,1.83322,0.916608,1.09436,
0.38,-0.0372386,-0.0186193,4.08415,-0.820367,-0.410184,23.506,-11.6676,-5.83379,65.406,0.992622,0.0542234,-0.108447,0,0.719941,-1.43988,0,1.02178,-2.04355,0,0.255417,0.573802,0.286901,-1.22504,1.78566,0.892832,1.04549,
0.39,-0.0467198,-0.0233599,4.32568,-0.948121,-0.47406,24.1531,-12.7754,-6.38769,64.714,0.991607,0.0578213,-0.115643,0,0.725307,-1.45061,0,0.536645,-1.07329,0,0.232213,0.594461,0.297231,-1.2914,1.72454,0.862271,0.992309,
0.4,-0.0575911,-0.0287955,4.57361,-1.08713,-0.543566,24.7931,-13.9011,-6.95053,63.9929,0.990525,0.0614161,-0.122832,0,0.725438,-1.45088,0,0.0130604,-0.0261209,0,0.209748,0.616071,0.308035,-1.35914,1.65045,0.825225,0.935144,
0.41,-0.0699659,-0.0349829,4.82786,-1.23748,-0.61874,25.4255,-15.0349,-7.51745,63.2457,0.989388,0.06498,-0.12996,0,0.719999,-1.44,0,-0.543839,1.08768,0,0.188092,0.638673,0.319337,-1.4282,1.5643,0.782152,0.874421,
0.42,-0.0839573,-0.0419787,5.08837,-1.39914,-0.699572,26.0503,-16.1663,-8.08316,62.4764,0.988205,0.0684839,-0.136968,0,0.708721,-1.41744,0,-1.12784,2.25569,0,0.167321,0.662308,0.331154,-1.49851,1.46733,0.733665,0.810657,
0.43,-0.0996772,-0.0498386,5.35504,-1.57199,-0.785993,26.6672,-17.2842,-8.64209,61.6899,0.986992,0.0718981,-0.143796,0,0.691404,-1.38281,0,-1.73172,3.46344,0,0.147517,0.687007,0.343503,-1.57001,1.36106,0.680531,0.744471,
0.44,-0.117235,-0.0586174,5.6278,-1.75575,-0.877877,27.2761,-18.3768,-9.1884,60.8917,0.985764,0.0751922,-0.150384,0,0.667931,-1.33586,0,-2.34732,4.69463,0,0.128767,0.712796,0.356398,-1.64261,1.24733,0.623663,0.676583,
0.45,-0.136735,-0.0683677,5.90657,-1.95008,-0.975038,27.877,-19.4322,-9.7161,60.0883,0.984539,0.0783362,-0.156672,0,0.638274,-1.27655,0,-2.96567,5.93134,0,0.111158,0.739693,0.369847,-1.71626,1.12822,0.56411,0.607816,
0.46,-0.15828,-0.07914,6.19127,-2.15446,-1.07723,28.4698,-20.4383,-10.2191,59.2868,0.983337,0.0813004,-0.162601,0,0.602502,-1.205,0,-3.57716,7.15432,0,0.0947792,0.767707,0.383854,-1.7909,1.00608,0.503041,0.539099,
0.47,-0.181963,-0.0909815,6.48182,-2.36829,-1.18414,29.0548,-21.3831,-10.6915,58.4947,0.982178,0.084056,-0.168112,0,0.560785,-1.12157,0,-4.1717,8.3434,0,0.0797164,0.796837,0.398419,-1.86646,0.883445,0.441722,0.471454,
0.48,-0.207871,-0.103936,6.77814,-2.59084,-1.29542,29.632,-22.2548,-11.1274,57.72,0.981083,0.0865758,-0.173152,0,0.513397,-1.02679,0,-4.73888,9.47776,0,0.0660513,0.827072,0.413536,-1.9429,0.762996,0.381498,0.405998,
0.49,-0.236084,-0.118042,7.08015,-2.82126,-1.41063,30.2017,-23.0423,-11.5212,56.9708,0.980072,0.0888346,-0.177669,0,0.460715,-0.921429,0,-5.2682,10.5364,0,0.0538587,0.858389,0.429195,-2.02018,0.64753,0.323765,0.343925,
0.5,-0.26667,-0.133335,7.3878,-3.05861,-1.5293,30.7643,-23.7349,-11.8675,56.255,0.979167,0.0908097,-0.181619,0,0.403222,-0.806445,0,-5.74921,11.4984,0,0.0432049,0.890755,0.445377,-2.09826,0.53989,0.269945,0.286493,
0.51,-0.299518,-0.149759,7.70056,-3.2848,-1.6424,31.2761,-22.6186,-11.3093,51.184,0.978373,0.092506,-0.185012,0,0.346618,-0.693236,0,-5.66046,11.3209,0,0.0341451,0.924124,0.462062,-2.17711,0.442919,0.22146,0.235009,
0.52,-0.3345,-0.16725,8.01794,-3.49822,-1.74911,31.7381,-21.3424,-10.6712,46.1967,0.977693,0.0939323,-0.187865,0,0.291674,-0.583348,0,-5.4944,10.9888,0,0.0266548,0.955891,0.477945,-2.25043,0.357511,0.178756,0.18982,
0.53,-0.371475,-0.185737,8.33945,-3.69745,-1.84872,32.1509,-19.9228,-9.9614,41.2887,0.977128,0.095101,-0.190202,0,0.239148,-0.478297,0,-5.25254,10.5051,0,0.0206271,0.985825,0.492912,-2.31795,0.285017,0.142509,0.151523,
0.54,-0.410287,-0.205143,8.6646,-3.88122,-1.94061,32.5155,-18.3771,-9.18854,36.4542,0.976675,0.096028,-0.192056,0,0.189769,-0.379537,0,-4.93798,9.87595,0,0.0159494,1.01371,0.506856,-2.37941,0.226253,0.113126,0.12049,
0.55,-0.450771,-0.225386,8.99293,-4.04845,-2.02422,32.8324,-16.7229,-8.36143,31.6864,0.976327,0.0967321,-0.193464,0,0.144216,-0.288432,0,-4.55528,9.11056,0,0.0125035,1.03936,0.519678,-2.4346,0.181496,0.0907478,0.0968531,
0.56,-0.492754,-0.246377,9.32395,-4.19822,-2.09911,33.1021,-14.9778,-7.48889,26.9779,0.976077,0.0972354,-0.194471,0,0.103113,-0.206225,0,-4.11034,8.22068,0,0.0101646,1.06258,0.531289,-2.48333,0.150504,0.0752521,0.080498,
0.57,-0.536052,-0.268026,9.6572,-4.32982,-2.16491,33.3253,-13.1592,-6.5796,22.3208,0.975914,0.0975624,-0.195125,0,0.0670107,-0.134021,0,-3.61018,7.22036,0,0.00880245,1.08322,0.54161,-2.52545,0.132548,0.066274,0.0710659,
0.58,-0.580478,-0.290239,9.99222,-4.44265,-2.22133,33.5024,-11.2838,-5.64188,17.7071,0.975825,0.0977399,-0.19548,0,0.036383,-0.0727661,0,-3.06277,6.12553,0,0.00828153,1.10115,0.550574,-2.56082,0.126451,0.0632257,0.0679673,
0.59,-0.625842,-0.312921,10.3286,-4.53633,-2.26816,33.6337,-9.36708,-4.68354,13.1292,0.975797,0.0977966,-0.195593,0,0.0116156,-0.0232313,0,-2.47674,4.95348,0,0.00846225,1.11625,0.558125,-2.58935,0.13065,0.0653249,0.0704028,
0.6,-0.671947,-0.335974,10.6658,-4.61056,-2.30528,33.7195,-7.42347,-3.71174,8.57973,0.975814,0.0977625,-0.195525,0,-0.00699609,0.0139922,0,-1.86117,3.72235,0,0.00920205,1.12844,0.564218,-2.61094,0.143255,0.0716277,0.0773928,
0.61,-0.718786,-0.359393,11.0038,-4.68384,-2.34192,33.8042,-7.32808,-3.66404,8.46675,0.975874,0.0976413,-0.195283,0,-0.0248366,0.0496733,0,-1.78405,3.56811,0,0.0103567,1.13764,0.568821,-2.62555,0.16213,0.0810652,0.0878132,
0.62,-0.766345,-0.383173,11.3427,-4.75599,-2.37799,33.8878,-7.21457,-3.60728,8.36389,0.975976,0.0974378,-0.194876,0,-0.0416933,0.0833865,0,-1.68566,3.37133,0,0.0118919,1.14676,0.573382,-2.64,0.187184,0.0935918,0.101636,
0.63,-0.814614,-0.407307,11.6824,-4.82683,-2.41341,33.9705,-7.08409,-3.54204,8.27055,0.976116,0.0971579,-0.194316,0,-0.0573654,0.114731,0,-1.56722,3.13444,0,0.0137798,1.15579,0.577893,-2.65432,0.21807,0.109035,0.118694,
0.64,-0.863576,-0.431788,12.0229,-4.89621,-2.4481,34.0524,-6.93799,-3.46899,8.18601,0.976289,0.0968081,-0.193616,0,-0.0716673,0.143335,0,-1.43019,2.86037,0,0.0159888,1.16469,0.582347,-2.66849,0.254367,0.127184,0.138777,
0.65,-0.913216,-0.456608,12.3642,-4.96399,-2.48199,34.1335,-6.77781,-3.3889,8.10943,0.976493,0.0963959,-0.192792,0,-0.0844301,0.16886,0,-1.27628,2.55257,0,0.0184833,1.17348,0.586738,-2.68254,0.295583,0.147792,0.161628,
0.66,-0.963516,-0.481758,12.7064,-5.03004,-2.51502,34.2139,-6.60526,-3.30263,8.03989,0.976723,0.0959295,-0.191859,0,-0.0955046,0.191009,0,-1.10745,2.21489,0,0.0212247,1.18212,0.591058,-2.69646,0.34116,0.17058,0.186954,
0.67,-1.01446,-0.507229,13.0493,-5.09426,-2.54713,34.2936,-6.42219,-3.2111,7.97637,0.976973,0.0954178,-0.190836,0,-0.104763,0.209526,0,-0.925814,1.85163,0,0.0241716,1.1906,0.595302,-2.71025,0.390481,0.19524,0.214421,
0.68,-1.06602,-0.533012,13.393,-5.15657,-2.57828,34.3728,-6.23059,-3.1153,7.91776,0.97724,0.0948702,-0.18974,0,-0.1121,0.224199,0,-0.733692,1.46738,0,0.0272804,1.19893,0.599465,-2.72393,0.442878,0.221439,0.243665,
0.69,-1.11819,-0.559097,13.7376,-5.21689,-2.60845,34.4514,-6.03255,-3.01627,7.86294,0.977518,0.0942963,-0.188593,0,-0.117435,0.23487,0,-0.533531,1.06706,0,0.0305057,1.20709,0.603543,-2.73749,0.497643,0.248821,0.274292,
0.7,-1.17095,-0.585473,14.0829,-5.27519,-2.6376,34.5295,-5.8302,-2.9151,7.8107,0.977801,0.0937062,-0.187412,0,-0.120714,0.241428,0,-0.327892,0.655784,0,0.0338011,1.21506,0.607532,-2.75094,0.554032,0.277016,0.305889,
0.71,-1.22426,-0.61213,14.4289,-5.33145,-2.66573,34.6071,-5.62576,-2.81288,7.75985,0.978086,0.0931101,-0.18622,0,-0.121908,0.243816,0,-0.119408,0.238816,0,0.0371198,1.22286,0.61143,-2.76427,0.611281,0.305641,0.338024,
0.72,-1.27812,-0.639058,14.7758,-5.38566,-2.69283,34.6842,-5.42144,-2.71072,7.70919,0.978367,0.0925182,-0.185036,0,-0.121016,0.242031,0,0.089247,-0.178494,0,0.0404148,1.23047,0.615234,-2.77749,0.668612,0.334306,0.370256,
0.73,-1.33249,-0.666247,15.1234,-5.43786,-2.71893,34.7608,-5.21945,-2.60972,7.65753,0.978639,0.0919406,-0.183881,0,-0.118062,0.236123,0,0.295399,-0.590797,0,0.04364,1.23789,0.618944,-2.7906,0.725243,0.362622,0.402141,
0.74,-1.38738,-0.693688,15.4717,-5.48808,-2.74404,34.8368,-5.02195,-2.51097,7.60372,0.978898,0.0913871,-0.182774,0,-0.113097,0.226195,0,0.496407,-0.992814,0,0.0467503,1.24512,0.62256,-2.80359,0.780403,0.390202,0.433238,
0.75,-1.44274,-0.72137,15.8209,-5.53639,-2.76819,34.9123,-4.83103,-2.41552,7.54663,0.97914,0.0908672,-0.181734,0,-0.1062,0.212401,0,0.689703,-1.37941,0,0.0497026,1.25217,0.626084,-2.81646,0.833338,0.416669,0.463116,
0.76,-1.49857,-0.749284,16.1707,-5.58288,-2.79144,34.9872,-4.64871,-2.32435,7.48524,0.979361,0.09039,-0.18078,0,-0.0974722,0.194944,0,0.872824,-1.74565,0,0.0524563,1.25903,0.629516,-2.82921,0.883322,0.441661,0.491361,
0.77,-1.55484,-0.777422,16.5214,-5.62764,-2.81382,35.0614,-4.47684,-2.23842,7.41855,0.979557,0.0899637,-0.179927,0,-0.0870377,0.174075,0,1.04344,-2.08689,0,0.0549733,1.26572,0.632859,-2.84183,0.929669,0.464834,0.51758,
0.78,-1.61155,-0.805776,16.8727,-5.67082,-2.83541,35.1348,-4.31715,-2.15858,7.3457,0.979726,0.0895962,-0.179192,0,-0.0750436,0.150087,0,1.19941,-2.39882,0,0.0572191,1.27224,0.636118,-2.85432,0.971738,0.485869,0.541407,
0.79,-1.66868,-0.834339,17.2248,-5.71253,-2.85626,35.2075,-4.1712,-2.0856,7.26588,0.979864,0.0892941,-0.178588,0,-0.061656,0.123312,0,1.33876,-2.67752,0,0.059163,1.27859,0.639296,-2.86667,1.00895,0.504473,0.562512,
0.8,-1.72621,-0.863104,17.5776,-5.75293,-2.87647,35.2793,-4.04036,-2.02018,7.17841,0.979969,0.0890635,-0.178127,0,-0.0470584,0.0941168,0,1.45976,-2.91953,0,0.0607783,1.2848,0.642399,-2.87888,1.04077,0.520386,0.5806,
0.81,-1.78413,-0.892065,17.9311,-5.79219,-2.89609,35.3501,-3.92577,-1.96288,7.08271,0.980039,0.0889094,-0.177819,0,-0.0314492,0.0628983,0,1.56092,-3.12185,0,0.0620428,1.29087,0.645433,-2.89094,1.06677,0.533383,0.595417,
0.82,-1.84243,-0.921217,18.2853,-5.83047,-2.91524,35.4199,-3.82836,-1.91418,6.9783,0.980072,0.0888357,-0.177671,0,-0.015039,0.0300781,0,1.64101,-3.28202,0,0.0629392,1.29681,0.648403,-2.90284,1.08655,0.543276,0.606754,
0.83,-1.90111,-0.950557,18.6402,-5.86796,-2.93398,35.4885,-3.74885,-1.87443,6.86485,0.980068,0.0888453,-0.177691,0,0.00195171,-0.00390342,0,1.69908,-3.39815,0,0.0634551,1.30263,0.651316,-2.91457,1.09984,0.549919,0.614449,
0.84,-1.96016,-0.980081,18.9957,-5.90484,-2.95242,35.5559,-3.68768,-1.84384,6.74212,0.980025,0.0889399,-0.17788,0,0.0192962,-0.0385925,0,1.73445,-3.4689,0,0.063583,1.30836,0.65418,-2.92613,1.10641,0.553207,0.618388,
0.85,-2.01957,-1.00979,19.3519,-5.94129,-2.97064,35.622,-3.64506,-1.82253,6.61001,0.979943,0.08912,-0.17824,0,0.036764,-0.073528,0,1.74678,-3.49355,0,0.0633209,1.314,0.657002,-2.93751,1.10616,0.553081,0.618508,
0.86,-2.07935,-1.03967,19.7088,-5.9775,-2.98875,35.6867,-3.62095,-1.81047,6.46852,0.979822,0.0893852,-0.17877,0,0.0541239,-0.108248,0,1.73599,-3.47197,0,0.0626716,1.31958,0.659789,-2.9487,1.09905,0.549524,0.614797,
0.87,-2.13949,-1.06974,20.0663,-6.01365,-3.00682,35.7499,-3.61505,-1.80753,6.31779,0.979663,0.0897337,-0.179467,0,0.0711471,-0.142294,0,1.70233,-3.40465,0,0.0616433,1.3251,0.662548,-2.95968,1.08514,0.542568,0.60729,
0.88,-2.19999,-1.09999,20.4244,-6.04992,-3.02496,35.8115,-3.62684,-1.81342,6.15807,0.979466,0.0901628,-0.180326,0,0.0876106,-0.175221,0,1.64634,-3.29269,0,0.0602491,1.33058,0.665289,-2.97047,1.06458,0.532288,0.596077,
0.89,-2.26085,-1.13043,20.7831,-6.08647,-3.04324,35.8714,-3.65553,-1.82776,5.98973,0.979232,0.0906686,-0.181337,0,0.103299,-0.206599,0,1.56888,-3.13775,0,0.0585068,1.33603,0.668016,-2.98103,1.03761,0.518806,0.581293,
0.9,-2.32209,-1.16104,21.1424,-6.12347,-3.06174,35.9295,-3.70012,-1.85006,5.81323,0.978964,0.0912464,-0.182493,0,0.11801,-0.23602,0,1.47106,-2.94212,0,0.0564388,1.34148,0.670739,-2.99137,1.00457,0.502284,0.563122,
0.91,-2.3837,-1.19185,21.5023,-6.16107,-3.08053,35.9858,-3.75941,-1.8797,5.62917,0.978663,0.0918902,-0.18378,0,0.131553,-0.263106,0,1.3543,-2.70861,0,0.0540718,1.34693,0.673463,-3.00149,0.96586,0.48293,0.541791,
0.92,-2.44569,-1.22284,21.8627,-6.19939,-3.09969,36.0402,-3.83199,-1.91599,5.43822,0.978331,0.0925935,-0.185187,0,0.143756,-0.287511,0,1.22027,-2.44054,0,0.0514363,1.35239,0.676195,-3.01136,0.921977,0.460988,0.51757,
0.93,-2.50808,-1.25404,22.2236,-6.23855,-3.11928,36.0926,-3.91627,-1.95813,5.24116,0.977972,0.093349,-0.186698,0,0.154464,-0.308929,0,1.07086,-2.14172,0,0.048566,1.35788,0.67894,-3.02099,0.87348,0.43674,0.490766,
