time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
0.68,0,0,66.715,0,0,54.9601,0,0,-64.3413,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.23936,0,0,0,
0.69,0,0,67.2583,0,0,54.3293,0,0,-63.0865,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.16482,0,0,0,
0.7,0,0,67.7954,0,0,53.7106,0,0,-61.8704,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.09258,0,0,0,
0.71,0,0,68.3265,0,0,53.1037,0,0,-60.6913,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.02255,0,0,0,
0.72,0,0,68.8515,0,0,52.5082,0,0,-59.5478,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.95463,0,0,0,
0.73,0,0,69.3708,0,0,51.9238,0,0,-58.4385,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.88873,0,0,0,
0.74,0,0,69.8843,0,0,51.3502,0,0,-57.3621,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.82479,0,0,0,
0.75,0,0,70.3922,0,0,50.787,0,0,-56.3172,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.76272,0,0,0,
0.76,0,0,70.8945,0,0,50.234,0,0,-55.3026,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.70246,0,0,0,
0.77,0,0,71.3914,0,0,49.6908,0,0,-54.3171,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.64392,0,0,0,
0.78,0,0,71.883,0,0,49.1572,0,0,-53.3598,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.58706,0,0,0,
0.79,0,0,72.3693,0,0,48.6329,0,0,-52.4294,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.53179,0,0,0,
0.8,0,0,72.8505,0,0,48.1177,0,0,-51.5251,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.47807,0,0,0,
0.81,0,0,73.3266,0,0,47.6112,0,0,-50.6458,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.42584,0,0,0,
0.82,0,0,73.7977,0,0,47.1133,0,0,-49.7906,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.37505,0,0,0,
0.83,0,0,74.264,0,0,46.6237,0,0,-48.9587,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.32563,0,0,0,
0.84,0,0,74.7254,0,0,46.1422,0,0,-48.1492,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.27755,0,0,0,
0.85,0,0,75.1821,0,0,45.6686,0,0,-47.3613,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.23075,0,0,0,
0.86,0,0,75.6341,0,0,45.2027,0,0,-46.5944,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.18519,0,0,0,
0.87,0,0,76.0815,0,0,44.7442,0,0,-45.8475,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.14083,0,0,0,
0.88,0,0,76.5245,0,0,44.293,0,0,-45.1201,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.09762,0,0,0,
0.89,0,0,76.963,0,0,43.8489,0,0,-44.4115,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.05553,0,0,0,
0.9,0,0,77.3971,0,0,43.4117,0,0,-43.721,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.01452,0,0,0,
0.91,0,0,77.8269,0,0,42.9812,0,0,-43.0481,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.97454,0,0,0,
0.92,0,0,78.2525,0,0,42.5573,0,0,-42.3921,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.93558,0,0,0,
0.93,0,0,78.6739,0,0,42.1397,0,0,-41.7525,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.89758,0,0,0,
0.94,0,0,79.0911,0,0,41.7284,0,0,-41.1287,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.86053,0,0,0,
0.95,0,0,79.5044,0,0,41.3232,0,0,-40.5203,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.82439,0,0,0,
0.96,0,0,79.9136,0,0,40.924,0,0,-39.9267,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.78913,0,0,0,
0.97,0,0,80.3189,0,0,40.5305,0,0,-39.3475,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.75473,0,0,0,
0.98,0,0,80.7203,0,0,40.1427,0,0,-38.7822,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.72115,0,0,0,
0.99,0,0,81.1179,0,0,39.7604,0,0,-38.2303,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.68837,0,0,0,
1,0,0,81.5118,0,0,39.3835,0,0,-37.6915,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.65636,0,0,0,
1.01,0,0,81.9019,0,0,39.0118,0,0,-37.1653,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.62511,0,0,0,
1.02,0,0,82.2884,0,0,38.6453,0,0,-36.6514,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.59458,0,0,0,
1.03,0,0,82.6712,0,0,38.2838,0,0,-36.1494,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.56476,0,0,0,
1.04,0,0,83.0505,0,0,37.9272,0,0,-35.6588,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.53562,0,0,0,
1.05,0,0,83.4262,0,0,37.5754,0,0,-35.1795,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.50715,0,0,0,
1.06,0,0,83.7985,0,0,37.2283,0,0,-34.711,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.47932,0,0,0,
1.07,0,0,84.1674,0,0,36.8858,0,0,-34.253,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.45211,0,0,0,
1.08,0,0,84.5328,0,0,36.5477,0,0,-33.8052,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.42551,0,0,0,
1.09,0,0,84.895,0,0,36.214,0,0,-33.3673,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.3995,0,0,0,
1.1,0,0,85.2538,0,0,35.8847,0,0,-32.9391,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.37407,0,0,0,
1.11,0,0,85.6094,0,0,35.5595,0,0,-32.5202,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.34918,0,0,0,
1.12,0,0,85.9618,0,0,35.2383,0,0,-32.1104,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.32484,0,0,0,
1.13,0,0,86.311,0,0,34.9213,0,0,-31.7094,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.30102,0,0,0,
1.14,0,0,86.6571,0,0,34.6081,0,0,-31.317,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.27771,0,0,0,
1.15,0,0,87.0001,0,0,34.2988,0,0,-30.9329,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2549,0,0,0,
1.16,0,0,87.34,0,0,33.9932,0,0,-30.5569,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.23257,0,0,0,
1.17,0,0,87.6769,0,0,33.6913,0,0,-30.1889,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.2107,0,0,0,
1.18,0,0,88.0109,0,0,33.393,0,0,-29.8284,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.18929,0,0,0,
1.19,0,0,88.3418,0,0,33.0983,0,0,-29.4755,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.16833,0,0,0,
1.2,0,0,88.6699,0,0,32.807,0,0,-29.1298,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.14779,0,0,0,
1.21,0,0,88.9951,0,0,32.519,0,0,-28.7912,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.12768,0,0,0,
1.22,0,0,89.3174,0,0,32.2345,0,0,-28.4594,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.10797,0,0,0,
1.23,0,0,89.637,0,0,31.9531,0,0,-28.1344,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.08867,0,0,0,
1.24,0,0,89.9537,0,0,31.675,0,0,-27.8158,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.06974,0,0,0,
1.25,0,0,90.2677,0,0,31.3999,0,0,-27.5036,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.0512,0,0,0,
1.26,0,0,90.579,0,0,31.1279,0,0,-27.1976,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.03303,0,0,0,
1.27,0,0,90.8876,0,0,30.859,0,0,-26.8977,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.01521,0,0,0,
1.28,0,0,91.1935,0,0,30.5929,0,0,-26.6036,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.997738,0,0,0,
1.29,0,0,91.4968,0,0,30.3298,0,0,-26.3152,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.980609,0,0,0,
1.3,0,0,91.7975,0,0,30.0695,0,0,-26.0324,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.963812,0,0,0,
1.31,0,0,92.0956,0,0,29.8119,0,0,-25.7551,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.947338,0,0,0,
1.32,0,0,92.3912,0,0,29.5571,0,0,-25.4831,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.931179,0,0,0,
1.33,0,0,92.6843,0,0,29.3049,0,0,-25.2162,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.915328,0,0,0,
1.34,0,0,92.9748,0,0,29.0554,0,0,-24.9544,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.899776,0,0,0,
1.35,0,0,93.2629,0,0,28.8084,0,0,-24.6975,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.884518,0,0,0,
1.36,0,0,93.5485,0,0,28.5639,0,0,-24.4454,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.869544,0,0,0,
1.37,0,0,93.8318,0,0,28.322,0,0,-24.1981,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.85485,0,0,0,
1.38,0,0,94.1126,0,0,28.0824,0,0,-23.9553,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.840427,0,0,0,
